Temperature,Humidity,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
38.8,92.5,29.0,32.8,8.3,2.19,3.9,698
26.3,54.1,10.3,25.1,4.5,0.95,10.1,316
37.2,111.3,8.8,31.9,18.5,2.12,7.7,753
17.5,57.2,13.6,25.6,3.1,1.03,11.6,505
26.7,54.8,11.3,15.8,4.5,1.25,11.8,565
22.8,65.3,13.3,14.7,6.7,1.03,11.3,318
43.3,69.3,19.3,34.3,11.3,1.99,4.3,500
26.0,57.9,58.2,31.4,4.3,1.25,7.8,488
23.6,47.9,9.8,18.4,4.3,0.95,11.0,319
21.2,55.6,5.4,25.2,2.8,0.88,11.3,404
20.7,71.2,9.4,11.4,4.4,1.09,10.9,207
26.3,44.2,20.4,12.5,4.3,0.95,11.7,397
27.2,46.7,5.6,17.2,4.1,1.0,13.1,468
26.1,77.5,14.5,20.8,9.9,1.86,5.4,376
49.0,98.4,183.1,33.8,7.6,1.12,5.2,797
36.4,97.3,33.1,38.8,13.1,2.07,4.1,556
29.9,77.8,23.4,43.8,20.0,1.89,6.0,681
27.2,59.2,8.1,13.9,6.9,1.0,15.6,543
38.0,94.7,35.7,30.4,11.7,2.26,4.8,574
42.8,73.0,23.7,31.2,25.6,2.46,3.5,495
27.3,61.0,34.8,21.0,6.9,0.98,10.4,453
45.2,88.9,28.9,33.6,18.9,2.37,6.9,574
41.5,91.3,93.5,30.0,12.8,1.99,10.4,561
21.4,55.3,5.0,13.3,0.9,1.28,10.1,609
27.6,54.2,14.9,25.7,2.8,1.05,12.4,525
28.7,69.0,33.7,19.4,11.0,1.24,9.7,589
27.0,54.9,5.6,16.1,3.5,0.96,11.6,482
33.5,77.4,23.4,29.4,7.5,1.59,6.1,480
18.1,50.3,15.5,19.8,19.8,1.69,7.3,440
25.4,75.3,2.9,23.3,7.3,0.85,17.0,325
34.0,68.2,10.2,47.2,12.8,2.16,3.9,725
23.8,92.0,37.8,44.0,5.5,2.29,4.0,433
26.3,58.2,24.6,23.1,9.0,1.5,6.0,345
27.5,61.0,58.8,26.0,12.0,1.6,5.6,488
24.1,49.2,17.1,22.3,6.4,0.98,13.6,334
35.8,72.9,33.2,23.9,16.7,2.0,3.6,552
29.3,78.5,19.2,29.3,-0.4,1.48,8.0,451
20.1,47.4,4.3,24.1,5.8,0.89,11.4,551
39.5,70.4,30.3,48.3,36.8,2.68,3.2,896
35.3,71.2,39.3,34.8,14.1,2.42,5.7,401
28.2,80.5,31.5,25.0,11.1,1.11,5.2,373
22.4,59.7,8.0,19.9,4.5,0.99,11.1,484
40.0,70.3,56.7,32.4,25.1,1.71,5.5,348
27.1,75.8,83.7,31.3,19.7,1.79,5.3,592
38.9,83.7,48.9,44.0,14.6,1.83,3.8,645
33.9,59.2,81.9,41.5,21.6,1.72,7.1,503
26.1,46.8,14.1,24.9,4.6,1.03,13.5,603
29.0,64.0,21.6,26.6,8.1,1.53,5.0,647
22.4,42.1,9.4,25.6,8.5,0.84,11.9,485
37.3,76.1,18.8,39.5,11.9,2.27,3.5,434
25.6,65.8,5.2,18.7,7.0,0.86,11.0,303
32.8,63.6,54.9,33.0,19.6,1.48,4.7,655
25.4,54.5,9.8,14.8,6.6,1.02,11.0,480
26.3,64.3,81.3,11.9,3.4,0.87,10.2,390
34.4,65.1,58.5,29.6,7.8,1.27,7.1,435
42.4,97.9,53.6,36.9,29.4,1.72,4.9,665
24.8,58.5,18.9,32.3,11.3,1.36,5.0,471
30.3,92.7,15.3,21.0,6.8,1.8,6.6,511
31.3,75.9,9.3,29.5,10.7,1.17,5.1,697
23.3,45.2,29.0,26.6,5.3,0.96,10.9,575
21.2,78.0,15.4,20.2,5.5,1.03,10.5,446
53.1,57.3,84.6,45.0,6.4,1.95,3.2,857
28.9,62.5,39.6,16.2,8.7,0.76,11.2,586
35.8,65.9,83.7,40.2,13.8,2.09,4.1,413
21.9,77.4,27.8,21.1,4.5,1.03,10.0,384
36.4,94.9,32.0,30.4,5.8,1.92,5.9,565
41.1,110.2,42.7,26.8,9.0,2.4,8.7,814
24.4,53.1,10.5,15.0,7.0,1.04,10.2,353
21.5,54.4,28.6,17.8,5.5,0.91,10.9,289
25.9,64.2,10.3,23.6,-0.4,0.93,11.5,386
26.1,48.2,16.5,17.1,5.3,0.94,11.1,344
22.2,46.8,5.7,24.3,5.7,0.93,15.6,245
24.6,53.0,6.0,24.6,5.2,0.95,11.1,500
32.7,94.8,15.2,34.1,9.8,1.63,5.4,392
25.8,68.0,25.9,19.8,4.2,0.85,13.1,303
35.0,55.8,17.8,26.2,13.8,1.65,6.2,313
33.5,44.8,44.4,21.0,9.7,1.23,10.1,547
38.0,98.9,94.3,37.9,13.1,2.42,6.0,791
29.2,78.4,24.9,21.5,1.9,0.97,10.1,285
33.3,76.1,10.2,24.8,9.9,1.35,6.7,321
26.1,48.5,10.5,18.4,5.0,0.99,10.4,547
26.4,63.7,11.2,30.1,11.6,1.13,8.7,507
36.2,62.4,53.1,22.8,7.8,1.27,6.7,407
23.9,54.6,5.8,18.0,-0.6,0.92,13.2,363
28.7,80.3,41.0,32.8,7.2,1.65,8.8,249
34.2,92.3,26.2,37.3,12.5,1.85,3.6,501
24.5,47.0,10.9,25.6,7.9,0.86,11.1,458
30.5,89.7,138.7,40.6,33.9,2.22,6.4,574
33.9,53.4,24.7,26.0,9.8,1.96,6.3,605
30.9,90.8,29.6,29.0,8.3,1.38,10.3,640
35.4,68.8,40.7,32.6,8.8,1.74,5.6,650
26.9,45.3,18.6,21.4,6.7,0.76,16.1,369
35.4,84.6,42.9,23.9,9.4,1.63,9.1,629
28.0,72.0,11.7,28.9,16.6,1.4,5.2,420
27.9,70.5,6.6,17.7,3.2,0.94,11.0,554
24.0,45.4,6.6,13.5,5.0,1.11,12.1,603
42.7,63.3,103.4,45.4,29.3,2.26,7.4,747
38.7,72.4,23.9,25.4,22.6,2.27,3.9,765
35.7,80.2,45.9,32.0,9.3,1.59,5.5,531
37.1,88.5,22.4,26.6,10.7,1.43,5.9,609
31.1,56.4,17.0,12.9,5.1,1.07,10.0,572
22.2,53.1,11.7,11.8,4.9,1.0,10.1,300
27.8,72.8,8.5,27.8,4.0,1.01,10.4,253
22.5,80.2,5.6,12.8,3.1,1.09,12.3,278
29.7,74.4,6.0,22.4,3.5,0.74,11.6,583
25.0,80.5,7.8,15.7,3.0,1.05,11.3,489
24.2,41.9,18.5,24.5,6.8,1.01,10.4,361
27.2,62.6,13.2,27.2,6.6,0.95,10.2,505
36.4,72.1,45.7,29.1,9.6,1.45,9.8,312
41.5,68.2,15.4,24.5,6.4,1.38,4.8,748
30.5,76.2,19.7,32.2,6.5,1.97,6.6,424
26.2,62.0,86.0,31.4,7.6,1.46,5.9,615
23.6,42.9,27.4,21.3,6.7,0.88,10.9,562
28.7,75.2,7.9,23.3,5.0,0.83,10.3,425
27.0,65.3,109.7,22.4,9.9,1.62,5.5,414
33.0,51.4,27.7,30.0,10.2,1.08,6.7,644
37.8,64.8,23.6,17.8,6.6,1.71,5.2,643
44.3,122.3,65.9,49.3,26.4,2.31,2.9,878
31.8,106.5,34.3,32.8,19.2,2.79,4.1,670
39.6,74.9,22.8,29.0,21.5,1.69,4.6,587
26.3,70.5,18.9,31.5,11.7,1.24,5.4,645
27.2,79.2,59.4,20.1,5.0,1.94,5.7,541
35.6,57.6,33.5,35.1,10.0,1.57,5.1,424
36.2,84.9,72.0,30.9,23.4,1.98,3.5,619
22.7,49.7,27.1,20.4,6.0,0.92,10.5,565
30.2,61.0,31.3,18.7,7.4,1.48,6.9,638
24.8,53.7,8.7,17.6,8.2,1.2,10.9,280
35.8,84.5,11.8,32.1,6.8,1.38,5.9,352
26.7,42.5,24.9,22.1,8.4,0.95,15.0,309
27.3,72.1,25.9,24.7,2.8,0.83,10.7,238
23.7,67.3,17.7,24.6,2.6,1.01,15.8,488
30.4,57.7,28.7,37.2,25.0,1.95,3.9,749
27.2,75.0,15.4,23.5,10.7,1.31,6.2,500
29.9,60.8,93.5,16.5,4.9,1.7,7.1,454
25.3,73.8,19.1,32.4,12.6,1.2,5.5,419
35.9,81.3,29.6,48.1,36.2,2.68,6.5,583
31.5,73.7,20.6,32.5,8.7,2.22,10.7,569
31.7,59.3,16.7,29.4,7.0,1.37,11.9,323
40.4,107.6,56.4,41.8,19.9,2.14,7.4,767
29.7,80.8,14.8,30.4,7.2,1.73,8.4,606
33.2,88.1,16.1,29.8,11.1,1.45,5.1,332
26.6,74.9,13.4,21.3,9.3,1.13,10.5,327
31.3,73.7,30.7,31.5,12.5,1.76,7.3,512
45.0,115.0,45.3,45.3,17.9,2.73,3.3,615
36.7,71.8,56.7,28.8,18.0,1.57,7.6,702
30.2,74.5,54.1,39.9,25.7,2.29,6.4,655
27.7,72.3,52.1,16.5,6.3,0.98,10.1,338
24.0,64.1,27.3,22.6,5.7,0.94,10.3,296
24.1,77.9,94.3,23.2,10.5,1.38,8.3,461
28.6,73.0,2.9,15.3,5.3,0.9,12.7,522
40.9,106.7,172.3,30.5,24.7,1.7,5.0,862
28.7,45.3,47.4,11.7,2.9,1.04,19.3,577
36.2,76.4,47.4,30.3,9.9,1.54,6.5,309
32.0,81.6,11.0,28.0,11.0,1.31,6.1,531
44.9,66.4,94.8,50.5,33.4,1.95,4.2,659
30.4,93.5,29.2,36.6,16.3,1.64,6.0,766
22.6,43.5,24.9,24.5,4.8,0.99,10.0,284
20.8,61.9,9.6,14.8,8.5,1.06,11.3,491
32.8,57.7,22.9,25.7,8.4,1.23,8.4,398
22.9,41.7,33.4,11.9,1.1,0.89,11.0,359
24.4,56.1,15.5,15.5,4.9,0.98,10.3,524
22.2,60.1,22.5,17.6,7.5,0.97,12.1,558
43.6,93.5,31.4,25.3,9.9,2.09,3.6,522
23.7,66.3,17.0,16.6,8.0,1.07,11.3,516
30.0,54.7,43.8,32.8,7.7,1.28,6.7,610
37.7,66.9,69.5,40.3,23.4,1.39,4.3,458
25.7,78.9,61.1,32.0,8.7,1.23,7.4,530
19.6,59.7,18.3,23.2,0.9,1.03,10.7,238
27.9,87.6,38.3,27.4,4.9,1.42,6.3,443
28.9,80.8,13.5,33.8,10.5,1.28,8.3,438
29.1,44.2,12.2,14.6,4.4,0.9,10.6,305
26.0,63.6,44.6,27.6,6.8,1.38,6.5,444
27.4,83.7,18.5,18.3,8.4,1.74,7.1,425
21.3,91.2,18.5,37.5,14.2,2.76,3.2,764
28.8,77.2,42.3,27.5,4.8,1.6,10.8,538
26.7,63.2,9.3,13.4,4.9,0.98,10.0,358
29.4,92.3,18.0,21.7,16.7,1.88,6.2,628
31.3,84.7,42.0,17.9,11.1,1.23,5.6,509
27.6,44.8,5.7,18.1,3.1,0.98,10.0,513
29.8,68.3,10.9,19.9,6.1,1.57,5.4,345
26.3,74.9,27.4,25.4,3.8,1.62,5.3,358
43.3,95.1,53.0,37.9,21.0,2.08,6.3,581
26.7,92.5,17.1,30.0,10.7,2.31,3.8,712
36.1,69.4,18.9,21.2,16.6,1.1,5.1,602
37.7,63.6,32.1,24.3,13.2,1.59,5.6,600
32.6,61.2,75.0,20.2,7.4,1.86,6.3,639
30.3,84.5,28.8,31.1,21.1,1.42,12.1,506
26.9,86.9,25.2,24.3,14.6,1.39,7.8,328
26.2,77.4,52.3,25.1,14.9,1.63,5.4,435
33.0,53.6,48.4,27.3,14.5,1.67,5.4,566
25.7,71.4,18.5,22.2,6.4,1.41,7.7,520
31.0,71.3,45.2,26.7,8.6,1.63,7.7,460
23.5,62.3,10.5,32.4,14.9,1.03,8.1,614
21.5,79.0,8.6,24.2,5.2,1.0,10.3,282
34.1,61.4,16.3,41.3,15.3,1.57,7.3,624
27.4,78.8,28.3,20.0,2.1,0.99,11.1,486
29.9,46.2,12.2,13.3,4.7,0.99,10.0,377
26.2,51.9,13.7,22.5,4.9,1.01,10.1,449
22.2,49.8,6.9,15.9,5.4,0.96,11.7,502
22.2,83.3,22.4,25.2,14.7,1.35,10.2,528
32.2,55.6,20.0,25.2,14.1,1.75,6.1,516
22.6,41.7,12.1,21.5,6.1,0.85,10.3,407
27.2,60.6,23.5,30.5,9.0,1.69,6.6,382
42.2,94.7,115.5,45.6,10.1,2.29,4.7,570
36.3,88.7,25.7,29.9,6.7,2.02,4.8,739
40.0,84.4,59.3,22.4,3.1,1.51,6.0,453
27.4,73.5,22.1,15.7,8.3,0.92,12.0,572
19.6,55.5,3.9,18.9,5.3,1.1,10.6,198
27.4,77.3,12.2,25.3,5.3,1.57,10.8,477
30.6,100.8,65.9,39.0,30.7,3.19,4.1,738
21.6,61.6,6.8,16.2,5.9,1.01,15.6,398
32.2,84.1,13.3,20.1,12.6,1.38,6.7,401
31.0,95.6,39.5,21.4,8.9,1.25,10.7,327
29.8,62.1,11.0,19.3,12.9,1.65,7.7,688
23.9,49.8,8.9,16.4,7.4,1.0,11.1,237
25.4,49.0,16.6,21.7,4.9,0.89,14.4,388
26.8,60.2,10.1,25.7,4.5,1.29,12.6,234
41.9,85.5,37.1,40.9,21.9,2.07,6.1,579
22.1,50.4,11.5,14.3,9.7,0.95,13.6,466
25.8,76.1,64.4,24.9,16.5,1.93,5.4,708
